Subject,Course ID,Course Title,Course Description,Credits
Civil Engineering,CIVL_V 445,Civil Engineering Design Project I,Integration and application of previously acquired knowledge and skills to find design solutions for a multi-disciplinary civil engineering project. Focus on conceptual and preliminary design. [2*-0-4] Prerequisite: CIVL 203. and fourth-year standing. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 475,Environmental Stewardship in Civil Engineering,"Co-evolution of human and natural environments, approaches to the design, construction and operations of interacting built, social, and ecological systems, the integrative design process and related strategies. [3-0-0] Prerequisite: One of APSC 261, APSC 262, APSC 263, CIVL 250, CIVL 302. Third-year standing in BASc program. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 478,Building Science,"Building science concepts associated with the design of modern buildings, focusing particularly on the building envelope's role in environmental separation, controlling the movement of heat, air, and water in liquid and vapour states. [3-0-0] Prerequisite: Fourth-year standing. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 504,Seismic Hazard Analysis and Design Parameters,Causes and characteristics of earthquakes. Properties of ground motion records. Estimation of ground motion intensity and analysis of attenuation relationships. Probabilistic and deterministic seismic hazard analysis for both sites and regions. Selection of earthquake records and construction of design spectra. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 505,Principles of Earthquake Engineering and Seismic Design,"Response of structures to earthquakes; concept of ductility; understanding and applications of seismic design codes for buildings; quasi-static, modal, and nonlinear analyses; modelling of structures; design of structures using energy dissipation devices. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 506,Performance-based Earthquake Engineering,Application of performance-based earthquake engineering principles to the design and assessment of building structures. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 507,Dynamics of Structures I,Fundamental analysis of simple structures subjected to dynamic loadings; vibration problems in structures; linear and nonlinear structural response of simple systems; numerical methods for practical vibration analysis. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 508,Dynamics of Structures II,Dynamic response of discrete and continuous systems; structural property matrices and eigenvalue problem; introduction to random vibrations; wave propagation analysis; experimental techniques and computer modelling. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 509,Nonlinear Structural Analysis,Nonlinear behaviour of structures and the formulation of elements to model such behaviour; solution strategies; nonlinear material and section response; nonlinear dynamic analysis; nonlinear geometry; application of nonlinear analysis in engineering practice. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 510,Behaviour of Steel Structures,Elastic response; elastic limit; capacity design; non-elastic stability problems of members and frames; plastic design and analysis; connection design for ultimate loads. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 511,Seismic Design of Steel Structures,Nonlinear behavior and modeling of steel structures; plastic analysis of steel structures; seismic design of steel buildings. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 513,Concrete Structures,Mechanics of structural concrete; comparison of analytical predictions and experimental results; simplified procedure; design using strut-and-tie models; seismic design of concrete buildings [3-0-0] This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 516,Behaviour of Timber Structures,"Behaviour of timber structural elements using limit states design principles; joints and fasteners, sawn lumber and engineered wood products, light frame systems and shear walls. Credit will be granted for only one of CIVL 439 or CIVL 516. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 517,Advanced Topics in Timber Structures,"Design of timber structural systems using limit states design principles; non-standard connectors, timber-concrete composites, cross-laminated timber and hybrid systems. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 518,Reliability and Structural Safety,Probability theory and random variables. Performance functions and probability of non-performance: simulations and FORM/SORM methods. Applications. System reliability. Time-dependent reliability and introduction to stochastic processes. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 519,Risk and Decision Analysis for Infrastructure Management,"Simulation and risk analysis; decision-making under uncertainty; methods to identify, value and implement flexibility in civil engineering systems design; applications to multiple civil engineering disciplines. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 520,Construction Planning and Control,Planning of civil engineering projects using networking techniques and time space methods. Treatment of resources and cash flow. Activity planning. Concepts of control at the project and activity levels. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 521,Construction Methods and Performance,"Case studies in construction methods and solutions to construction site operation problems. Construction productivity, performance measurement, safety, quality, and other production issues. Credit will be granted for only one of CIVL 425 or CIVL 521. [3-0-0] This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 522,Project and Construction Economics,"Application of the principles of engineering economics, economics and systems analysis techniques to the mathematical modelling of civil engineering projects. Topics treated: modelling of capital expenditures, revenues and operating expenditures, project financing, sensitivity analysis, risk analysis and management. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 523,Project Management for Engineers,Perspectives of project management as it relates to civil engineering. Case studies are used to illustrate key issues. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 524,Legal Aspects of Project and Construction Management,"Legal issues of construction contracts, bidding processes, negligence, insurance, bonding, liens, and labour law. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 526,Virtual Design and Construction,"Building information modelling (BIM), 4D/5D modelling, design coordination, BIM execution and performance assessment, and integrated project delivery methods. Credit will be granted for only one of CIVL 426 or CIVL 526. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 529,Condition Assessment and Rehabilitation of Civil Infrastructure,"Non-destructive testing; repair and strengthening; high performance plain, polymer-modified, and fibre-reinforced concrete; shotcrete; fibre-reinforced polymer sprays; wraps and laminates; structural health monitoring using sensors; case studies. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 537,Computational Mechanics I,"Numerical techniques, weighted residual methods, finite differences, finite elements. Formulations using energy principles, shape functions, conformity, stiffness and mass matrices. Consistent load vectors. Applications to linear problems. Numerical integration and equation solvers. Dynamic problems. Introduction to nonlinear problems. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 538,Computational Mechanics II,Finite elements for geometrically nonlinear problems: Lagrangian and Eulerian formulations. Review of constitutive models: Finite elements for materially nonlinear problems. Incremental formulations. Iterative solution algorithms. Application to project type problems. Prerequisite: [CIVL537] This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 539,Advanced Theory of Structures,"Shearflow, shear deformation, St. Venant torsion, geometric stiffness and buckling of structural components and systems, lateral torsional buckling, beams on elastic foundation, theory of plates and shells, energy methods. Credit will be granted for only one of CIVL 435 or CIVL 539. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 540,Advanced Coastal Engineering,"Wave theories; wave shoaling, refraction, diffraction and reflection; tides and currents; random waves; wave generation; coastal structures; sedimentation; mixing processes; harbours design; coastal modelling. Credit will be granted for only one of CIVL 417 or CIVL 540. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 541,Environmental Fluid Mechanics,Analysis of density stratified flows with application to water quality problems in inland and coastal waters. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 542,Physical Limnology,"Physical processes that affect the behaviour of lakes, including reservoirs, water filled mine pits, mine tailings ponds and other standing water bodies. Impacts of these processes on water quality, and methods used in the rehabilitation of lakes. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 543,Turbulent Fluid Dynamics,Physical and mathematical models of turbulent flow suitable for engineering estimates and predictions. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 546,Fluvial Hydraulics,"Hydraulics of flow in rivers. Sediment transport, flow resistance, river morphology, stable channel design, bank erosion and scour; effects of engineering works on river systems; river restoration. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 548,Numerical Modelling of Surface Water Quality,"Development and application of water quality models for lakes, rivers, estuaries, and reservoirs. Derivation of differential equations of pollutant transport; kinetic relationships for physical and chemical transformation of substances; numerical and analytical solutions to transport equations; calibration and verification. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 551,Advanced Hydrology,Modelling hydrologic processes. Flow forecasting models for watersheds. Hydrology in a global perspective. Hydrological measurement techniques. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 555,Optimization and Heuristic Approaches for Civil Engineering Systems,"Optimization and simulation and their use in civil engineering design, analysis, and operation. Problem formulation, classical solution techniques, and heuristic approaches, and their applications to the disciplines within civil engineering are addressed. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 556,Modelling and Optimization of Civil Engineering Systems,"Applications of practical simulation and optimization software systems and operations research methodologies in design, analysis, and operation of civil engineering systems. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 559,Advanced Water and Wastewater Treatment Technology,Processes for removing and mitigating impurities that are not effectively removed in conventional water and waste treatment practice; investigation of disposal practices that make use of the impurities as a resource. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 560,Low-Pressure Membranes for Water Treatment,Parameters governing contaminant removal and system throughput in microfiltration and ultrafiltration for drinking water and wastewater treatment. [3-0-0]. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 561,Risk and Remediation in Geo-environment,"Sampling; investigations; fate and transport of chemicals in soil, water, sediment, biota and air; exposure pathways assessment and toxicological principles for receptors; risk-based approach to site remediation, treatment and control technologies. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 562,Environmental Data Collection and Analysis,Development and application of sampling and data analysis programs as they apply to environmental engineering. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 565,Physical-Chemical Treatment Processes,Development of the principles of selected physical and chemical treatment unit operations. Applications in both water and wastewater treatment. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 566,Fate of Contaminants in Aquatic Systems,"Fate of contaminants in inland and coastal waters. Pollutants associated with pulp mills, waste treatment plants, mining operations and other sources. Natural processes (physical, chemical, and biological) affecting the ultimate fate and impact of these pollutants. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 567,Water and Sanitation in Low Resource Contexts,"Design approaches for public health engineering and water and sanitation services in resource-limited contexts. Water and excreta-related diseases and appropriate technologies for water supply, treatment, sanitation, and analysis. Local, global, and Indigenous contexts will be integrated throughout the class. [3-0-0]. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 569,Environmental Biotechnology,"Development of the principles of secondary, biological treatment processes, with application to both municipal and industrial wastewater treatment. Discussion of different treatment methodology, incorporating both aerobic and anaerobic microbiological processes. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 574,Experimental Soil Mechanics,Field and laboratory experimental studies of advanced aspects of soil behaviour; compressibility; shear strength; pore water pressure; dynamic tests; advanced instrumentation and measurement techniques; research reports required. Prerequisite: [CIVL570] This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 575,Constitutive Models for Soil,Introduction to continuum mechanics; basics of elastoplasticity; stress-strain behavior of geomaterials; anisotropy; monotonic and cyclic loading; critical state soil mechanics; specific constitutive models for clays and sands. This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 580,Geotechnical Earthquake Engineering,"Local site effects, soil-structure-interaction, liquefaction, seismic slope stability, seismic design of retaining structures; advanced methods in geotechnical earthquake engineering. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 581,Soil Dynamics for Design Practice,"Seismic loading and its effect on earth structures; dynamic response of single, and multi-degree of freedom systems and continuous systems; behaviour of soil under dynamic loading; pore pressure generation and liquefaction effects; seismicity and seismic design parameters; dynamic analysis of earth structures; seismic design of soil-structure systems. Prerequisite: CIVL 570. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 582,Transportation Engineering Impacts,"Methods to measure, predict and evaluate impacts of transportation modes. Discussion of measures to reduce impacts. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 583,Urban Engineering Methods and Models,"The application of urban analysis methods and models to the design of municipal and transportation engineering systems. Credit will be granted for only one of CIVL 441, CIVL 583 or PLAN 535. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 584,Applications of Advanced Computer Techniques in Civil Engineering,"Applications of artificial intelligence, neural networks, fuzzy logic and computer simulation to civil engineering problems involving uncertainty. This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 585,Pedestrian and Bicycle Transportation Design,"Design of transportation facilities for people walking, cycling, or rolling on non- or lightly-motorized vehicles (active travellers). Geometry and traffic controls for sidewalks, bike lanes, shared streets, and off-street paths. Traveller and contextual factors influencing facility use and performance, including safety, comfort, accessibility, and equity. Credit will be given for one of CIVL 585 or PLAN 548L. [3-0-0] This course is not eligible for Credit/D/Fail grading.",	3
Civil Engineering,CIVL_V 586,Urban Transportation System Analysis,This course is not eligible for Credit/D/Fail grading.,	3
Civil Engineering,CIVL_V 589,Traffic Flow Theory,"A discussion of the various traffic flow distribution models, gap acceptance, queuing processes, traffic flow simulation with applications to intersection design, signal system design and control of urban freeways. [3-0] This course is not eligible for Credit/D/Fail grading.",	3
Classical Arabic,ARBC_V 101,Beginning Classical and Quranic Arabic I,"Classical Arabic, with an introduction to vocabulary and grammar and the reading of simple Qur'anic texts and wisdom sayings in the original.",	3
Classical Arabic,ARBC_V 102,Beginning Classical and Quranic Arabic II,"Classical Arabic, with further introduction to vocabulary and grammar and the reading of Qur'anic texts in the original. Prerequisite: ARBC 101.",	3
Classical Arabic,ARBC_V 201,Intermediate Classical and Quranic Arabic I,Classical Arabic. Designed to enrich vocabulary and grammar and to enhance fluency in reading and interpreting a range of Qur'anic texts. Prerequisite: ARBC 102.,	3
Classical Arabic,ARBC_V 202,Intermediate Classical and Quranic Arabic II,"Classical Arabic. Designed to further enrich vocabulary and grammar and to enhance fluency in reading and interpreting longer texts from Qur'an, Hadith and other genres. Prerequisite: ARBC 201.",	3
Classical Arabic,ARBC_V 205,Beginning Classical and Quranic Arabic II,"Classical Arabic, with further introduction to vocabulary and grammar and the reading of Qur'anic texts in the original. Credit will be granted for only one of ARBC 102 or ARBC 205. Prerequisite: ARBC 101.",	3
Classical Arabic,ARBC_V 301,Intermediate Classical and Quranic Arabic I,"Classical Arabic. Designed to enrich vocabulary and grammar and to enhance fluency in reading and interpreting a range of Qur'anic texts. Credit will be granted for only one of ARBC 201 or ARBC 301. Prerequisite: One of ARBC 205, ARBC 102..",	3
Classical Arabic,ARBC_V 302,Intermediate Classical and Quranic Arabic II,"Classical Arabic. Designed to further enrich vocabulary and grammar and to enhance fluency in reading and interpreting longer texts from Qur'an, Hadith and other genres. Credit will be granted for only one of ARBC 202 or ARBC 302. Prerequisite: One of ARBC 201, ARBC 301.",	3
Classical Studies,CLST_V 110,Golden Age of Athens,"The history and culture, values, and achievements of fifth-century Athens.",	3
Classical Studies,CLST_V 111,Late Republican and Early Imperial Rome,"The history and culture, values, and achievements of Late Republican and Early Imperial Rome.",	3
Classical Studies,CLST_V 204,"Gods, Graves, and Goods: The Archaeology of Ancient Greece and Rome","A survey of the material cultures of the pre-classical and classical civilizations of Greece and Rome, illustrating the principles and techniques used to illuminate the archaeological history of these civilizations.",	3
Classical Studies,CLST_V 501,Topography and Monuments of Athens,A study of the topography and monuments of ancient Athens from the Bronze Age to Late Antiquity. Offered in the first term of alternate years. This course is not eligible for Credit/D/Fail grading.,	3
Classical Studies,CLST_V 502,Topography and Monuments of Rome,A study of the topography and monuments of ancient Rome from the Iron Age to Late Antiquity. Offered in the second term of alternate years. This course is not eligible for Credit/D/Fail grading.,	3
Classical Studies,CLST_V 513,The Archaeology of Greek and Roman Technology,Material evidence for the technological achievements of the Greek and Roman world. This course is not eligible for Credit/D/Fail grading.,	3-6
Classical Studies,CLST_V 520,Directed Studies in Greek Archaeology,This course is not eligible for Credit/D/Fail grading.,	3-6
Classical Studies,CLST_V 521,Directed Studies in Roman Archaeology,"This course is not eligible for Credit/D/Fail grading. Subscribe to CLST_V Course Descriptions Introduction Courses by Subject Courses by Faculty/School/College UBC Academic Calendar Vancouver Campus 2016 1874 East Mall Vancouver,                  BC                  Canada V6T 1Z1 The University of British Columbia About UBC Contact UBC About the University News Events Careers Make a Gift Search UBC.ca UBC Campuses Vancouver Campus Okanagan Campus UBC Sites Robson Square Centre for Digital Media Faculty of Medicine Across BC Emergency Procedures | Terms of Use | UBC Copyright | Accessibility to top Calendar Sections Home Dates and Deadlines Academic Year Admissions Fees Establishment and Constitution Campus-wide Policies and Regulations Services, Facilities, and Organizations Research Units, Centres, and Institutes UBC Library Faculties, Colleges, and Schools Alternative Study Options Course Descriptions Emeriti Staff Enrolment Statistics 2023/24 Calendar History Calendar Archive Contact Us UBC Crest The official logo of the University of British Columbia. Urgent Message An exclamation mark in a speech bubble. Caret An arrowhead indicating direction. Arrow An arrow indicating direction. Arrow in Circle An arrow indicating direction. Arrow in Circle An arrow indicating direction. Chats Two speech clouds. Facebook The logo for the Facebook social media service. Information The letter 'i' in a circle. Instagram The logo for the Instagram social media service. Linkedin The logo for the LinkedIn social media service. Location Pin A map location pin. Mail An envelope. Menu Three horizontal lines indicating a menu. Minus A minus sign. Pencil A pencil indicating that this is editable. Telephone An antique telephone. Plus A plus symbol indicating more or the ability to add. Search A magnifying glass. Twitter The logo for the Twitter social media service. Youtube The logo for the YouTube video sharing service.",	3-6
Clean Energy Engineering,CEEN_V 501,Energy System Fundamentals,"Thermodynamic analysis of energy conversion processes, power cycles and refrigeration cycles. Exergy analysis of conventional energy systems. Thermal conversion technologies. This course is not eligible for Credit/D/Fail grading.",	3
Clean Energy Engineering,CEEN_V 502,Alternative Energy Technologies,"Factors affecting energy source adoption. Solar, wind, small-scale hydro, tidal, geothermal, electrochemical (batteries, capacitators, and fuel cells), and biochemical energy, electromechanical conversion processes. Energy storage, microgrids, interfacing with main transmissions grids. Techno-economic assessment of alternative energy technologies. Prerequisite: CEEN 501. This course is not eligible for Credit/D/Fail grading.",	3
Clean Energy Engineering,CEEN_V 503,Sustainable Energy Systems,"Planetary thermodynamics, energy system evolution, role of renewable energy sources. Alternative energy technologies. Solar, wind, small-scale hydro, tidal, geothermal, and biochemical energy, electromechanical conversion processes. Techno-economic assessment of alternative energy technologies. This course is not eligible for Credit/D/Fail grading.",	3
Clean Energy Engineering,CEEN_V 523,Energy and the Environment,Energy/environment/society interactions; development of energy resources; energy demand and its determinants; policy dimension of energy and climate change; impacts on ecosystems; life cycle analysis; impact assessment and other tools for quantitative and qualitative evaluation of alternative energy sources. This course is not eligible for Credit/D/Fail grading.,	3
Clean Energy Engineering,CEEN_V 550,Energy Efficiency and Conservation,"Engineering concepts of demand side management (DSM), energy auditing, analysis of buildings and industrial equipment, measurement & verification, and system data analysis. Energy efficient technologies for green buildings and industrial processes. Behavior and energy use. DSM policy concepts. This course is not eligible for Credit/D/Fail grading.",	3
Clean Energy Engineering,CEEN_V 596,Project and Report,For M.Eng. students. Carry out a project and prepare an engineering report under the supervision of a faculty member. This course is not eligible for Credit/D/Fail grading.,	6
Cognitive Systems Program,COGS_V 200,Introduction to Cognitive Systems,"Interdisciplinary examination of human mental processes and how these are mediated by the brain. Will draw on cognitive psychology, linguistics, cognitive neuroscience, philosophy, artificial intelligence. [3-0-0] Prerequisite: second-year standing in the Faculty of Arts or Science.",	3
Cognitive Systems Program,COGS_V 300,Understanding and Designing Cognitive Systems,Theory and methods for integrating diverse disciplinary content in cognitive systems. [3-2-0] Prerequisite: COGS 200. And 3 credits of CPSC.,	4
Cognitive Systems Program,COGS_V 303,Research Methods in Cognitive Systems,Examination and comparison of the research methodologies of different disciplines relevant to cognitive systems. [3-0-0] Prerequisite: COGS 200.,	3
Cognitive Systems Program,COGS_V 401,Seminar in Cognitive Systems,"Interdisciplinary seminar integrating theory, methods, and current research topics. [1-0-4] Prerequisite: COGS 300.",	3
Cognitive Systems Program,COGS_V 402,Research in Cognitive Systems,"Supervised research project in a Cognitive Systems-related laboratory. [0-9-0] Prerequisite: COGS 300. COGS 401 is recommended. Subscribe to COGS_V Course Descriptions Introduction Courses by Subject Courses by Faculty/School/College UBC Academic Calendar Vancouver Campus 2016 1874 East Mall Vancouver,                  BC                  Canada V6T 1Z1 The University of British Columbia About UBC Contact UBC About the University News Events Careers Make a Gift Search UBC.ca UBC Campuses Vancouver Campus Okanagan Campus UBC Sites Robson Square Centre for Digital Media Faculty of Medicine Across BC Emergency Procedures | Terms of Use | UBC Copyright | Accessibility to top Calendar Sections Home Dates and Deadlines Academic Year Admissions Fees Establishment and Constitution Campus-wide Policies and Regulations Services, Facilities, and Organizations Research Units, Centres, and Institutes UBC Library Faculties, Colleges, and Schools Alternative Study Options Course Descriptions Emeriti Staff Enrolment Statistics 2023/24 Calendar History Calendar Archive Contact Us UBC Crest The official logo of the University of British Columbia. Urgent Message An exclamation mark in a speech bubble. Caret An arrowhead indicating direction. Arrow An arrow indicating direction. Arrow in Circle An arrow indicating direction. Arrow in Circle An arrow indicating direction. Chats Two speech clouds. Facebook The logo for the Facebook social media service. Information The letter 'i' in a circle. Instagram The logo for the Instagram social media service. Linkedin The logo for the LinkedIn social media service. Location Pin A map location pin. Mail An envelope. Menu Three horizontal lines indicating a menu. Minus A minus sign. Pencil A pencil indicating that this is editable. Telephone An antique telephone. Plus A plus symbol indicating more or the ability to add. Search A magnifying glass. Twitter The logo for the Twitter social media service. Youtube The logo for the YouTube video sharing service.",	3
Commerce,COMM_V 100,Introduction to Business,An overview of all functional areas of business. Students will be introduced to the computer and internet tools commonly used in business. For non-Commerce students only. Credit will be granted for only one of COMM 100 or COMR 100. Equivalency: COMR 100,	3
Commerce,COMM_V 101,Business Fundamentals,The different disciplines of business and their combination in management planning and decision-making. This course is not eligible for Credit/D/Fail grading.,	3
Commerce,COMM_V 105,"Values, Ethics, and Community","An introduction to the roles and responsibilities of business at individual, organizational, and societal levels. Students will examine their personal values and lay the foundation for ongoing, active exploration of career paths through which they can achieve their goals. This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 120,Business Immersion,A broad introduction to the field of business and how the different disciplines within business interact and combine in business decision-making. For Master of Management - Dual Degree Option students only. This course is not eligible for Credit/D/Fail grading.,	3
Commerce,COMM_V 190,Introduction to Quantitative Decision Making,"Introduction to decision models in business, including basic optimization, linear programming, probability, decision analysis, random variables, simulation, and solving decision problems using spreadsheet tools. Credit will be granted for only one of COMM 190, COMM 290, ECON 325, ECON 327, PSYC 366, STAT 241, or STAT 251. Corequisite: One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184. Equivalency: COMM290 This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 191,Application of Statistics in Business,"Methods and applications of statistics in business; data analysis, descriptive regression; data generation; sampling distributions; hypothesis testing; confidence intervals; two sample problems; inference in regression. Credit will be granted for only one of COMM 191, BIOL 300, COMM 291, ECON 226, ECON 325, ECON 327, EPSE 482, FRST 231, GEOG 374, KIN 371, PSYC 218, PSYC 278, PSYC 366, POLI 380, SOCI 328, STAT 200, or STAT 203. Prerequisite: One of COMM 190, COMM 290. Equivalency: COMM291 This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 192,Management and Organizational Behaviour,"Behaviour in organizations as it affects people as individuals, their relationships with others, their performance in groups and their effectiveness at work. Credit will be granted for only one of COMM 192, COMM 292, COMM 321, COMM 329, or COMR 329. Equivalency: COMM 292 This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 196,Business Communications I,An activity-focused course providing the opportunity to study and practice forms of written and non-written communication needed in business.Credit will be granted for only one of COMM 196 or COMM 395. This course is not eligible for Credit/D/Fail grading.,	3
Commerce,COMM_V 203,Managing the Employment Relationship,"The role of employment relations in enterprise performance. Managing employees under statutory law, collective bargaining, and progressive human resource management. Key issues in forming, developing, and maintaining a work force. Prerequisite: One of COMM 192, COMM 292 and either (a) all of ECON 101, ECON 102 or (b) ECON 100. This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 204,Logistics and Operations Management,"The design and management of systems to make products, provide services and deliver them to the end user. Credit will be granted for only one of COMM 204, COMM 398, or COMR 398. Prerequisite: One of COMM 190, COMM 290 and one of COMM 191, COMM 291. This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 205,Introduction to Management Information Systems,Overview of computer technology and terminology; use of computers as managerial and administrative tools; the management of computer resources and the influence of information technology within the organization. This course is not eligible for Credit/D/Fail grading.,	3
Commerce,COMM_V 220,Business Communications,An experiential course covering a broad range of business writing and communications. For Master of Management - Dual Degree Option students only. This course is not eligible for Credit/D/Fail grading.,	3
Commerce,COMM_V 271,Introduction to Capital Markets,Roles of capital market institutions and participants. Skill development for basic financial principles in the quantitative and qualitative evaluation of bond and stock investments. This course is not eligible for Credit/D/Fail grading.,	3
Commerce,COMM_V 280,Entrepreneurship,"Entrepreneurial essentials from creating viable opportunities through building a founding team, strategic planning, going to market, fleshing out an organization and planning the future of the business. Credit will be granted for only one of COMM 280 or COMR 280. Equivalency: COMR280",	3
Commerce,COMM_V 293,Financial Accounting,"Introduction to the construction and interpretation of financial reports prepared primarily for external use. Credit will be granted for only one of COMM 293, COEC 293, or COMM 320. Prerequisite: One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184. Equivalency: COEC293 This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 294,Managerial Accounting,"Introduction to the development and use of accounting information for management planning and control and the development of cost information for financial reports. Credit will be granted for only one of COMM 294 or COEC 294. Prerequisite: One of COEC 293, COMM 293. Equivalency: COEC 294 This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 295,Managerial Economics,"Economic foundations of managerial decision-making. Demand theory, cost and production, market structure, competitive strategy, organization of the firm, welfare-economic foundations of business regulation. Credit will be granted for only one of ECON 201, ECON 206, ECON 301, ECON 304, FRE 295 or COMM 295. Prerequisite: Either (a) ECON 100 or (b) all of ECON 101, ECON 102. This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 296,Introduction to Marketing,"Basic considerations affecting the domestic and international marketing of goods and services. Credit will be granted for only one of COMM 296, COMM 420, COMM 465, or COMR 465. Corequisite: COMM 293 and one of COMM 295, ECON 201, ECON 301. This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 298,Introduction to Finance,"Introduces the basic principles of financial valuation, including the time-value of money and the risk/return tradeoff. Develops tools for the quantitative analysis of corporate and/or individual financing and saving decisions, and of capital budgeting decisions. Credit will be granted for only one of COMM 298, COEC 298, COMM 421, COMM 473, or COMR 473. [3-0-0] Corequisite: COMM 293 and one of COMM 190, COMM 290 and one of COMM 295, ECON 301. Equivalency: COEC298 This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 306,Urban Land Economics,"Examines economic factors affecting the urban land market, with an emphasis on determinants of urban land values, the housing market, urban transportation, and land use policies. Prerequisite: One of COMM 295, ECON 201, ECON 301. This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 307,Real Estate Investment,"Evaluation of investment in real estate assets; proforma analysis, property and asset management, equity securitization, appraisal, and international real estate investment. Prerequisite: One of COMM 295, ECON 201, ECON 301 and one of COMM 297, COMM 298. This course is not eligible for Credit/D/Fail grading.",	3
Commerce,COMM_V 310,Simulation Models in Business Decision-Making,"Computer simulation, simulation languages. Typical business applications in financial planning, waiting line problems and other operating problems. Prerequisite: One of COMM 191, COMM 291.",	3
Commerce,COMM_V 311,Research Theory for Commerce Scholars,"Social science research: theory, research design, methods, and criticism. For students in the Commerce Scholars Program only. This course is not eligible for Credit/D/Fail grading.",	3
